Temp,Humidity,Barometer,DATETIME,TOTALDEMAND
18,32,1011,01-05-2019 00:30,4257.58
17,34,1011,01-05-2019 01:00,4106.36
17,34,1011,01-05-2019 01:30,3941.44
17,34,1010,01-05-2019 02:00,3818
15,42,1010,01-05-2019 02:30,3659.1
15,42,1009,01-05-2019 03:00,3544
16,39,1009,01-05-2019 03:30,3499.8
15,45,1009,01-05-2019 04:00,3470.64
16,45,1009,01-05-2019 04:30,3490.37
16,45,1010,01-05-2019 05:00,3539.39
19,43,1010,01-05-2019 05:30,3666.91
19,43,1010,01-05-2019 06:00,3860.35
19,49,1010,01-05-2019 06:30,4226.39
19,46,1011,01-05-2019 07:00,4626.9
19,46,1011,01-05-2019 07:30,4807.05
18,56,1012,01-05-2019 08:00,5074.16
17,73,1012,01-05-2019 08:30,5083.77
17,68,1011,01-05-2019 09:00,5087.49
18,60,1012,01-05-2019 09:30,5100.66
18,64,1013,01-05-2019 10:00,4990.71
18,73,1013,01-05-2019 10:30,4944.14
19,68,1013,01-05-2019 11:30,4849.3
21,60,1013,01-05-2019 12:00,4839.09
21,60,1012,01-05-2019 12:30,4742.1
21,57,1012,01-05-2019 13:00,4624.13
21,57,1012,01-05-2019 13:30,4662.45
21,60,1012,01-05-2019 14:00,4803.5
21,60,1012,01-05-2019 14:30,4822.69
22,57,1012,01-05-2019 15:00,4857.83
20,69,1012,01-05-2019 15:30,4927.19
21,64,1012,01-05-2019 16:00,5025.99
20,69,1012,01-05-2019 16:30,5166.71
20,69,1012,01-05-2019 17:00,5275.75
20,69,1013,01-05-2019 17:30,5452.93
20,69,1013,01-05-2019 18:00,5653.07
20,69,1013,01-05-2019 18:30,5694.1
19,73,1014,01-05-2019 19:00,5619.7
20,69,1014,01-05-2019 19:30,5405.92
20,69,1015,01-05-2019 20:00,5339.16
20,73,1014,01-05-2019 20:30,5120.46
20,73,1014,01-05-2019 21:00,5043.52
20,73,1014,01-05-2019 21:30,4829.1
20,73,1014,01-05-2019 22:00,4647.81
20,69,1014,01-05-2019 22:30,4503.97
20,69,1014,01-05-2019 23:00,4354.99
19,73,1014,01-05-2019 23:30,4500.37
20,69,1014,02-05-2019 00:00,4510.15
20,69,1013,02-05-2019 00:30,4297.98
19,73,1013,02-05-2019 01:00,4167.78
19,73,1014,02-05-2019 01:30,4024.2
18,83,1013,02-05-2019 02:00,3895.9
18,83,1014,02-05-2019 02:30,3795.82
18,88,1013,02-05-2019 03:00,3775.67
18,88,1013,02-05-2019 03:30,3711.27
18,88,1013,02-05-2019 04:00,3767.99
18,88,1014,02-05-2019 04:30,3806.69
18,88,1015,02-05-2019 05:00,3806.95
16,88,1016,02-05-2019 05:30,3904.62
16,88,1015,02-05-2019 06:00,4087.09
16,88,1016,02-05-2019 06:30,4414.02
16,83,1017,02-05-2019 07:00,4673.12
16,83,1017,02-05-2019 07:30,4935.99
16,83,1018,02-05-2019 08:00,5108.82
16,83,1018,02-05-2019 08:30,5179.72
17,77,1018,02-05-2019 09:00,5120.58
15,82,1019,02-05-2019 09:30,5095.61
15,88,1018,02-05-2019 10:00,5024.02
15,88,1018,02-05-2019 10:30,5002.4
17,77,1018,02-05-2019 11:00,4917.68
18,73,1017,02-05-2019 11:30,4742.31
18,73,1017,02-05-2019 12:00,4707.14
18,73,1016,02-05-2019 12:30,4771.89
18,78,1016,02-05-2019 13:00,4808.37
18,78,1016,02-05-2019 13:30,4844.56
19,73,1016,02-05-2019 14:00,4868.64
19,73,1015,02-05-2019 14:30,4838.77
19,68,1015,02-05-2019 15:00,4806.69
20,60,1015,02-05-2019 15:30,4886.51
20,56,1015,02-05-2019 16:00,4952.62
19,60,1014,02-05-2019 16:30,5080.42
19,52,1015,02-05-2019 17:00,5209.45
18,52,1015,02-05-2019 17:30,5319.26
18,56,1015,02-05-2019 18:00,5587.15
17,68,1015,02-05-2019 18:30,5652.72
17,68,1015,02-05-2019 19:00,5549.82
16,72,1016,02-05-2019 19:30,5357.83
16,72,1016,02-05-2019 20:00,5246.87
16,72,1016,02-05-2019 20:30,5129.04
15,77,1016,02-05-2019 21:00,5037.5
15,72,1016,02-05-2019 21:30,4905.96
15,72,1016,02-05-2019 22:00,4768.01
15,72,1016,02-05-2019 22:30,4621.96
15,72,1016,02-05-2019 23:00,4484.54
15,72,1016,02-05-2019 23:30,4694.7
15,72,1016,03-05-2019 00:00,4723.46
15,72,1016,03-05-2019 00:30,4493.59
15,77,1016,03-05-2019 01:00,4342.31
15,77,1016,03-05-2019 01:30,4184.11
14,82,1016,03-05-2019 02:00,3992.77
14,88,1016,03-05-2019 02:30,3891.95
14,82,1016,03-05-2019 03:00,3728.11
13,88,1015,03-05-2019 03:30,3721.06
13,88,1016,03-05-2019 04:00,3706.09
13,88,1016,03-05-2019 04:30,3784.24
12,94,1016,03-05-2019 05:00,3794.15
11,94,1016,03-05-2019 05:30,3952.29
11,94,1016,03-05-2019 06:00,4181.23
10,94,1016,03-05-2019 06:30,4488.54
11,88,1016,03-05-2019 07:00,4832.79
12,82,1016,03-05-2019 07:30,5009.8
13,77,1016,03-05-2019 08:00,5182.12
13,77,1017,03-05-2019 08:30,5141.96
15,72,1017,03-05-2019 09:00,5013.3
16,68,1017,03-05-2019 09:30,4891.96
17,59,1016,03-05-2019 10:00,4717.49
17,59,1016,03-05-2019 10:30,4582.36
19,43,1016,03-05-2019 11:00,4528.06
19,40,1016,03-05-2019 11:30,4450.6
19,40,1015,03-05-2019 12:00,4395.1
19,37,1015,03-05-2019 12:30,4405.39
20,38,1014,03-05-2019 13:00,4440.46
19,35,1014,03-05-2019 13:30,4441.55
20,33,1014,03-05-2019 14:00,4495.43
20,33,1014,03-05-2019 14:30,4518.43
20,30,1014,03-05-2019 15:00,4560.38
20,33,1014,03-05-2019 15:30,4657.6
20,35,1014,03-05-2019 16:00,4784.06
19,37,1014,03-05-2019 16:30,4909.22
18,37,1014,03-05-2019 17:00,5063.01
17,42,1014,03-05-2019 17:30,5249.8
16,45,1014,03-05-2019 18:00,5469.69
16,45,1015,03-05-2019 18:30,5593.82
15,51,1015,03-05-2019 19:00,5484.52
15,51,1015,03-05-2019 19:30,5325.12
15,51,1015,03-05-2019 20:00,5216.54
15,55,1015,03-05-2019 20:30,5099.19
14,59,1015,03-05-2019 21:00,5009.92
15,55,1015,03-05-2019 21:30,4847.65
14,59,1016,03-05-2019 22:00,4729.72
14,59,1016,03-05-2019 22:30,4598.13
15,55,1015,03-05-2019 23:00,4492.88
14,59,1015,03-05-2019 23:30,4682.42
13,67,1015,04-05-2019 00:00,4689.52
13,67,1015,04-05-2019 00:30,4425.35
13,72,1015,04-05-2019 01:00,4203.58
13,72,1015,04-05-2019 01:30,3961.45
13,72,1016,04-05-2019 02:00,3793.44
12,82,1016,04-05-2019 02:30,3609.87
12,82,1016,04-05-2019 03:00,3577.29
13,77,1016,04-05-2019 03:30,3489.28
12,82,1016,04-05-2019 04:00,3420.13
12,82,1016,04-05-2019 04:30,3439.54
12,82,1017,04-05-2019 05:00,3444.02
12,82,1017,04-05-2019 05:30,3538.35
12,77,1017,04-05-2019 06:00,3602.79
12,77,1017,04-05-2019 06:30,3732.75
12,77,1018,04-05-2019 07:00,3951.42
12,82,1018,04-05-2019 07:30,4046.85
12,77,1018,04-05-2019 08:00,4144.16
12,82,1019,04-05-2019 08:30,4319.08
13,67,1019,04-05-2019 09:00,4326.23
14,63,1020,04-05-2019 09:30,4270
13,63,1020,04-05-2019 10:00,4302.54
14,59,1020,04-05-2019 10:30,4271.68
15,51,1020,04-05-2019 11:00,4200.07
15,51,1020,04-05-2019 11:30,4260.18
14,63,1020,04-05-2019 12:00,4235.59
15,59,1020,04-05-2019 12:30,4249.3
12,88,1020,04-05-2019 13:00,4232.84
14,72,1020,04-05-2019 13:30,4271.3
15,63,1020,04-05-2019 14:00,4250.76
12,94,1020,04-05-2019 14:30,4212.95
15,72,1020,04-05-2019 15:00,4233.68
15,63,1020,04-05-2019 15:30,4258.83
15,63,1021,04-05-2019 16:00,4366.59
15,63,1021,04-05-2019 16:30,4540.88
14,67,1021,04-05-2019 17:00,4839.64
14,63,1022,04-05-2019 17:30,5005.96
13,72,1022,04-05-2019 18:00,5228.8
13,77,1022,04-05-2019 18:30,5364.38
13,77,1023,04-05-2019 19:00,5316.85
13,72,1023,04-05-2019 19:30,5165.43
12,77,1023,04-05-2019 20:00,5072.89
12,77,1023,04-05-2019 20:30,4979.93
12,77,1023,04-05-2019 21:00,4876.42
12,77,1024,04-05-2019 21:30,4835.8
12,77,1024,04-05-2019 22:00,4739.59
12,77,1024,04-05-2019 22:30,4631.27
12,72,1024,04-05-2019 23:00,4558.44
12,72,1024,04-05-2019 23:30,4744.6
11,82,1024,05-05-2019 00:00,4692
12,72,1024,05-05-2019 00:30,4459.19
11,77,1024,05-05-2019 01:00,4332.31
11,82,1024,05-05-2019 01:30,4179.46
11,82,1024,05-05-2019 02:00,3972.77
10,88,1024,05-05-2019 02:30,3797.85
10,94,1024,05-05-2019 03:00,3696.99
10,94,1024,05-05-2019 03:30,3634.08
10,94,1024,05-05-2019 04:00,3605.01
10,94,1024,05-05-2019 04:30,3583
10,94,1025,05-05-2019 05:00,3579.08
10,94,1024,05-05-2019 05:30,3629.75
11,88,1025,05-05-2019 06:00,3634.32
11,88,1025,05-05-2019 06:30,3764.86
11,88,1025,05-05-2019 07:00,3885.86
11,88,1024,05-05-2019 07:30,3926.53
11,88,1025,05-05-2019 08:00,4083.15
12,82,1025,05-05-2019 08:30,4168.5
13,77,1025,05-05-2019 09:00,4173.72
13,77,1025,05-05-2019 09:30,4171.9
14,72,1025,05-05-2019 10:00,4112.23
14,72,1025,05-05-2019 11:00,4168.03
14,77,1025,05-05-2019 11:30,4193.58
14,72,1025,05-05-2019 12:00,4208.28
14,72,1025,05-05-2019 12:30,4222
16,63,1024,05-05-2019 13:00,4188.13
15,68,1024,05-05-2019 13:30,4194.6
16,59,1024,05-05-2019 14:00,4186.98
15,68,1024,05-05-2019 14:30,4188.78
15,68,1024,05-05-2019 15:00,4155.63
16,63,1024,05-05-2019 15:30,4242.84
15,68,1024,05-05-2019 16:00,4388.18
15,68,1024,05-05-2019 16:30,4630.94
14,72,1024,05-05-2019 17:00,4907.84
14,72,1024,05-05-2019 17:30,5184.14
13,77,1024,05-05-2019 18:00,5497.33
13,77,1024,05-05-2019 18:30,5623.18
12,82,1024,05-05-2019 19:00,5548.39
12,77,1025,05-05-2019 19:30,5401.75
11,82,1025,05-05-2019 20:00,5308.04
11,82,1025,05-05-2019 20:30,5196.09
10,88,1024,05-05-2019 21:00,5079.98
9,87,1024,05-05-2019 21:30,4950.99
9,87,1024,05-05-2019 22:00,4804.56
8,93,1024,05-05-2019 22:30,4639.53
8,93,1024,05-05-2019 23:00,4522.22
10,88,1024,05-05-2019 23:30,4658.31
10,88,1024,06-05-2019 00:00,4735.11
10,88,1024,06-05-2019 00:30,4450.38
10,94,1023,06-05-2019 01:00,4275.28
10,88,1023,06-05-2019 01:30,4155.28
11,88,1023,06-05-2019 02:00,3993.2
11,88,1023,06-05-2019 02:30,3873.02
10,94,1023,06-05-2019 03:00,3781.92
10,94,1023,06-05-2019 03:30,3738.58
11,88,1023,06-05-2019 04:00,3762.15
11,88,1022,06-05-2019 04:30,3816.11
10,94,1022,06-05-2019 05:00,3844.72
9,94,1022,06-05-2019 05:30,4005.27
9,100,1023,06-05-2019 06:30,4656.9
10,94,1023,06-05-2019 07:00,5095.31
10,94,1023,06-05-2019 07:30,5415.73
10,94,1023,06-05-2019 08:00,5681.42
11,88,1023,06-05-2019 08:30,5711.09
12,82,1023,06-05-2019 09:00,5545.13
13,82,1023,06-05-2019 09:30,5453.88
15,63,1023,06-05-2019 10:00,5426.67
15,63,1023,06-05-2019 10:30,5301.81
14,67,1023,06-05-2019 11:00,5196.53
15,59,1022,06-05-2019 11:30,5155.17
15,59,1022,06-05-2019 12:00,5122.9
14,63,1021,06-05-2019 12:30,5116.45
15,59,1021,06-05-2019 13:00,5129.17
15,59,1020,06-05-2019 13:30,5123.52
15,55,1020,06-05-2019 14:00,5110.63
15,55,1020,06-05-2019 14:30,5074.69
15,51,1020,06-05-2019 15:00,5065.27
16,48,1019,06-05-2019 15:30,5074.77
16,48,1019,06-05-2019 16:00,5179.89
15,51,1019,06-05-2019 16:30,5405.45
14,59,1019,06-05-2019 17:00,5602.77
13,67,1019,06-05-2019 17:30,5890.31
12,72,1019,06-05-2019 18:00,6229.33
12,72,1019,06-05-2019 18:30,6405.33
11,82,1019,06-05-2019 19:00,6304.41
11,82,1019,06-05-2019 19:30,6151.49
10,88,1019,06-05-2019 20:00,6007.56
9,94,1018,06-05-2019 20:30,5850.08
8,93,1019,06-05-2019 21:00,5707.39
9,87,1018,06-05-2019 21:30,5595.74
9,94,1018,06-05-2019 22:00,5397.43
7,100,1018,06-05-2019 22:30,5158.63
7,93,1018,06-05-2019 23:00,4972.79
8,93,1017,06-05-2019 23:30,5111.29
9,94,1017,07-05-2019 00:00,5058.9
9,94,1017,07-05-2019 00:30,4811.97
10,94,1017,07-05-2019 01:00,4607.34
9,94,1016,07-05-2019 01:30,4460.84
10,88,1016,07-05-2019 02:00,4314.19
10,88,1016,07-05-2019 02:30,4171.37
8,100,1016,07-05-2019 03:00,4037.59
7,93,1015,07-05-2019 03:30,3995.2
7,93,1015,07-05-2019 04:00,3964.68
7,93,1015,07-05-2019 04:30,3941.9
8,87,1014,07-05-2019 05:00,4003.1
7,93,1014,07-05-2019 05:30,4158.18
7,87,1014,07-05-2019 06:00,4401.75
6,93,1014,07-05-2019 06:30,4832.47
8,82,1014,07-05-2019 07:00,5232.16
8,82,1014,07-05-2019 07:30,5502.62
9,82,1014,07-05-2019 08:00,5692.7
10,76,1014,07-05-2019 08:30,5554.99
11,77,1014,07-05-2019 09:00,5331.52
12,72,1013,07-05-2019 09:30,5181.97
13,67,1013,07-05-2019 10:00,4959.66
13,67,1013,07-05-2019 10:30,4849.1
14,59,1013,07-05-2019 11:00,4675.83
16,55,1013,07-05-2019 11:30,4589.19
17,49,1012,07-05-2019 12:00,4485.64
18,43,1011,07-05-2019 12:30,4397.67
18,40,1010,07-05-2019 13:00,4440.51
19,37,1010,07-05-2019 13:30,4415.53
18,37,1009,07-05-2019 14:00,4452.03
19,40,1009,07-05-2019 14:30,4531.3
18,40,1008,07-05-2019 15:00,4591.09
18,37,1008,07-05-2019 15:30,4657.95
18,40,1008,07-05-2019 16:00,4763.5
17,42,1008,07-05-2019 16:30,4960.96
17,42,1008,07-05-2019 17:00,5225.35
16,45,1008,07-05-2019 17:30,5538.56
16,48,1008,07-05-2019 18:00,5836.51
16,52,1007,07-05-2019 18:30,5899.37
